x,y
0,-2.23086E-29
2,-8.11553E-05
4,-0.000162311
6,-0.00029244
8,-0.000471543
10,-0.000650646
12,-0.000913943
14,-0.00117724
16,-0.00146567
18,-0.00177922
20,-0.00209277
22,-0.00246683
24,-0.00284089
26,-0.00323932
28,-0.00366211
30,-0.0040849
32,-0.00455109
34,-0.00501728
36,-0.00550317
38,-0.00600877
40,-0.00651438
42,-0.00704947
44,-0.00758455
46,-0.00813425
48,-0.00869856
50,-0.00926286
52,-0.00984589
54,-0.0104289
56,-0.0110218
58,-0.0116244
60,-0.0122271
62,-0.0128403
64,-0.0134534
66,-0.0140724
68,-0.0146971
70,-0.0153218
72,-0.0159509
74,-0.01658
76,-0.0172118
78,-0.0178462
80,-0.0184807
82,-0.0191151
84,-0.0197495
86,-0.0203846
88,-0.0210203
90,-0.0216559
92,-0.0222891
94,-0.0229224
96,-0.0235551
98,-0.0241872
100,-0.0248194
