x;y
0;-1.99422E-29
2;-8.44008E-05
4;-0.000168802
6;-0.000295881
8;-0.000496124
10;-0.000696367
12;-0.000947337
14;-0.00121642
16;-0.00149436
18;-0.00184749
20;-0.00220063
22;-0.00256936
24;-0.00295542
26;-0.00334148
28;-0.00379533
30;-0.00426188
32;-0.00473258
34;-0.00521885
36;-0.00570511
38;-0.0062275
40;-0.00677617
42;-0.00732483
44;-0.00788386
46;-0.00844346
48;-0.00901738
50;-0.00962232
52;-0.0102273
54;-0.0108346
56;-0.0114431
58;-0.0120532
60;-0.0126932
62;-0.0133331
64;-0.013972
66;-0.0146092
68;-0.0152464
70;-0.0159002
72;-0.0165584
74;-0.0172155
76;-0.017866
78;-0.0185166
80;-0.0191743
82;-0.0198386
84;-0.0205028
86;-0.0211572
88;-0.0218104
90;-0.0224661
92;-0.0231288
94;-0.0237915
96;-0.0244459
98;-0.0250955
100;-0.0257451
