x;y
0;8.84E-024
4;-0.000589761
8;-0.00148966
12;-0.00320367
16;-0.00549736
20;-0.00826204
24;-0.0114322
28;-0.014802
32;-0.0191701
36;-0.0237069
40;-0.0285195
44;-0.0339318
48;-0.0396597
52;-0.0457592
56;-0.0520407
60;-0.0589143
64;-0.0659513
68;-0.0731634
72;-0.0808334
76;-0.0886585
80;-0.0967513
84;-0.104993
88;-0.113566
92;-0.122266
96;-0.131057
100;-0.14017
104;-0.149357
108;-0.158684
112;-0.168128
116;-0.177739
120;-0.187427
124;-0.197149
128;-0.207073
132;-0.217021
136;-0.227019
140;-0.237094
144;-0.247241
148;-0.257411
152;-0.267593
156;-0.277869
160;-0.288145
164;-0.29842
168;-0.308735
172;-0.319074
176;-0.329395
180;-0.33972
184;-0.350077
188;-0.36042
192;-0.370744
196;-0.381088
200;-0.39144
